Company Name,Scrip Code
20 microns ltd.,533022
360 one wam ltd.,542772
3b blackbio dx ltd.,532067
3b films ltd.,544412
3c it solutions & telecom (india) ltd.,544190
3i infotech ltd.,532628
3m india ltd.,523395
3p land holdings ltd.,516092
52 weeks entertainment ltd.,531925
5paisa capital ltd.,540776
63 moons technologies ltd.,526881
7nr retail ltd.,540615
7seas entertainment ltd.,540874
a & m febcon ltd.,540697
a f enterprises ltd.,538351
a-1 ltd.,542012
a2z infra engineering ltd.,533292
aa plus tradelink ltd.,543319
aaa technologies ltd.,543671
aadhaar ventures india ltd.,531611
aadhar housing finance ltd.,544176
aadi industries ltd.,530027
aagam capital ltd.,531866
aananda lakshmi spinning mills ltd.,539096
aanchal ispat ltd.,538812
aar shyam india investment company ltd.,542377
aarcon facilities ltd.,532024
aarey drugs & pharmaceuticals ltd.,524412
aarnav fashions ltd.,539562
aartech solonics ltd.,542580
aarti drugs ltd.,524348
aarti industries ltd.,524208
aarti pharmalabs ltd.,543748
aarti surfactants ltd.,543210
aarvee denims and exports ltd.,514274
aashka hospitals ltd.,543346
aastamangalam finance ltd.,511764
aavas financiers ltd.,541988
aayush art and bullion ltd.,540718
aayush wellness ltd.,539528
ab cotspin india ltd.,544522
ab infrabuild ltd.,544281
aban offshore ltd.,523204
abans financial services ltd.,543712
abate as industries ltd.,531658
abb india ltd.,500002
abbott india ltd.,500488
abc india ltd.,520123
abhijit trading company ltd.,539560
abhinav capital services ltd.,532057
abhinav leasing & finance ltd.,538952
abhishek corporation ltd.,532831
abhishek finlease ltd.,538935
abhishek infraventures ltd.,539544
abirami financial services (india) ltd.,511756
abm knowledgeware ltd.,531161
abram food ltd.,544422
abril paper tech ltd.,544500
acc ltd.,500410
accedere ltd.,531533
accel ltd.,517494
acceleratebs india ltd.,543938
accelya solutions india ltd.,532268
ace alpha tech ltd.,544431
ace edutrend ltd.,530093
ace engitech ltd.,530669
ace men engg works ltd.,539661
ace software exports ltd.,531525
achal investments ltd.,538570
achyut healthcare ltd.,543499
aci infocom ltd.,517356
acknit industries ltd.,530043
acme resources ltd.,539391
acme solar holdings ltd.,544283
acrow india ltd.,513149
acs technologies ltd.,530745
action construction equipment ltd.,532762
action financial services (india) ltd.,511706
active clothing co ltd.,541144
acutaas chemicals ltd.,543349
ad-manum finance ltd.,511359
adani energy solutions ltd.,539254
adani enterprises ltd.,512599
adani green energy ltd.,541450
adani ports & special economic zone ltd.,532921
adani power ltd.,533096
adani total gas ltd.,542066
adarsh plant protect ltd.,526711
adc india communications ltd.,523411
adcon capital services ltd.,539506
adcounty media india ltd.,544435
add-shop e-retail ltd.,541865
addi industries ltd.,507852
adeshwar meditex ltd.,543309
adf foods ltd.,519183
adharshila capital services ltd.,539493
adhata global ltd.,531286
adhbhut infrastructure ltd.,539189
adhiraj distributors ltd.,780018
adinath textiles ltd.,514113
aditya birla capital ltd.,540691
aditya birla fashion and retail ltd.,535755
aditya birla lifestyle brands ltd.,544403
aditya birla money ltd.,532974
aditya birla real estate ltd.,500040
aditya birla sun life amc ltd.,543374
aditya consumer marketing ltd.,540146
aditya forge ltd.,522150
aditya infotech ltd.,544466
aditya ispat ltd.,513513
aditya spinners ltd.,521141
aditya vision ltd.,540205
adjia technologies ltd.,543269
adline chem lab ltd.,524604
ador multiproducts ltd.,523120
ador welding ltd.,517041
adroit infotech ltd.,532172
ads diagnostic ltd.,523031
adtech systems ltd.,544185
advait energy transitions ltd.,543230
advance lifestyles ltd.,521048
advance metering technology ltd.,534612
advance multitech ltd.,526331
advance petrochemicals ltd.,506947
advance powerinfra tech ltd.,531047
advance syntex ltd.,539982
advanced enzyme technologies ltd.,540025
advani hotels & resorts (india) ltd.,523269
advent computer services ltd.,531429
advik capital ltd.,539773
aegis logistics ltd.,500003
aegis vopak terminals ltd.,544407
aelea commodities ltd.,544213
aeonian investments company ltd.,503655
aeonx digital technology ltd.,524594
aeroflex enterprises ltd.,511076
aeroflex industries ltd.,543972
aeroflex neu ltd.,543743
aerpace industries ltd.,534733
aether industries ltd.,543534
afcom holdings ltd.,544224
afcons infrastructure ltd.,544280
affle 3i ltd.,542752
affordable robotic & automation ltd.,541402
afloat enterprises ltd.,543377
ag ventures ltd.,506579
agarwal fortune india ltd.,530765
agarwal industrial corporation ltd.,531921
agi greenpac ltd.,500187
agi infra ltd.,539042
agio paper & industries ltd.,516020
agri-tech (india) ltd.,537292
agribio spirits ltd.,539546
agrimony commodities ltd.,537492
ags transact technologies ltd.,543451
ahasolar technologies ltd.,543941
ahluwalia contracts (india) ltd.,532811
ahmedabad steelcraft ltd.,522273
ai champdany industries ltd.,532806
aia engineering ltd.,532683
aik pipes and polymers ltd.,544072
aimco pesticides ltd.,524288
aion-tech solutions ltd.,531439
airan ltd.,543811
airfloa rail technology ltd.,544516
ajanta pharma ltd.,532331
ajanta soya ltd.,519216
ajax engineering ltd.,544356
ajc jewel manufacturers ltd.,544425
ajcon global services ltd.,511692
